accuracy,precision,recall,f1,size,classifier,system,size type
0.8946648426812586,0.8988342606264688,0.8946648426812586,0.8946648426812586,10%,maxEnt,team,ratio
0.9175108538350217,0.9211601800326397,0.9175108538350217,0.9175108538350217,15%,maxEnt,team,ratio
0.9338461538461539,0.9328520127931522,0.9338461538461539,0.9338461538461539,20%,maxEnt,team,ratio
0.9408866995073891,0.9404990504863939,0.9408866995073891,0.9408866995073891,25%,maxEnt,team,ratio
0.8714090287277702,0.8738616582705196,0.8714090287277702,0.8714090287277702,10%,naive,team,ratio
0.8900144717800289,0.9046399970060877,0.8900144717800289,0.8900144717800289,15%,naive,team,ratio
0.9061538461538462,0.9123326241866352,0.9061538461538462,0.9061538461538462,20%,naive,team,ratio
0.916256157635468,0.9199912793040363,0.916256157635468,0.916256157635468,25%,naive,team,ratio
0.8919288645690835,0.9027588724944721,0.8919288645690835,0.8919288645690835,10%,svm,team,ratio
0.9175108538350217,0.9182116230111556,0.9175108538350217,0.9175108538350217,15%,svm,team,ratio
0.9338461538461539,0.9313617952271791,0.9338461538461539,0.9338461538461539,20%,svm,team,ratio
0.9425287356321839,0.9510657452542085,0.9425287356321839,0.9425287356321839,25%,svm,team,ratio
