accuracy,precision,recall,f1,size,classifier,system,size type
0.7091136079900124,0.7885359987613292,0.7091136079900124,0.7091136079900124,5,maxEnt,prom,abs
0.794973544973545,0.8263095767904622,0.794973544973545,0.794973544973545,10,maxEnt,prom,abs
0.8659217877094972,0.8796645160465026,0.8659217877094972,0.8659217877094972,15,maxEnt,prom,abs
0.8875739644970414,0.8971433765735618,0.8875739644970414,0.8875739644970414,20,maxEnt,prom,abs
0.9276729559748428,0.9364029586549615,0.9276729559748428,0.9276729559748428,25,maxEnt,prom,abs
0.634207240948814,0.7515891471914089,0.634207240948814,0.634207240948814,5,naive,prom,abs
0.7592592592592593,0.8168872723535728,0.7592592592592593,0.7592592592592593,10,naive,prom,abs
0.7877094972067039,0.8423876974048315,0.7877094972067039,0.7877094972067039,15,naive,prom,abs
0.8210059171597633,0.8515652455179787,0.8210059171597633,0.8210059171597633,20,naive,prom,abs
0.8553459119496856,0.8951593049579255,0.8553459119496856,0.8553459119496856,25,naive,prom,abs
0.6604244694132334,0.7863327571230951,0.6604244694132334,0.6604244694132334,5,svm,prom,abs
0.7764550264550265,0.832061761957793,0.7764550264550265,0.7764550264550265,10,svm,prom,abs
0.8463687150837989,0.8608556572672148,0.8463687150837989,0.8463687150837989,15,svm,prom,abs
0.878698224852071,0.8925471784086996,0.878698224852071,0.878698224852071,20,svm,prom,abs
0.8930817610062893,0.9050785299784574,0.8930817610062893,0.8930817610062893,25,svm,prom,abs
