accuracy,precision,recall,f1,size,classifier,system,size type
0.8241469816272966,0.8506858518654146,0.8241469816272966,0.8241469816272966,10%,maxEnt,prom,ratio
0.8708333333333333,0.8823801202311637,0.8708333333333333,0.8708333333333333,15%,maxEnt,prom,ratio
0.8951255539143279,0.9020602346290022,0.8951255539143279,0.8951255539143279,20%,maxEnt,prom,ratio
0.9118110236220472,0.9153139915573331,0.9118110236220472,0.9118110236220472,25%,maxEnt,prom,ratio
0.8044619422572179,0.8233718101494131,0.8044619422572179,0.8044619422572179,10%,naive,prom,ratio
0.8472222222222222,0.8604958725006414,0.8472222222222222,0.8472222222222222,15%,naive,prom,ratio
0.8670605612998523,0.8706069434020514,0.8670605612998523,0.8670605612998523,20%,naive,prom,ratio
0.8803149606299212,0.8904172378686342,0.8803149606299212,0.8803149606299212,25%,naive,prom,ratio
0.8018372703412073,0.7970523915355161,0.8018372703412073,0.8018372703412073,10%,svm,prom,ratio
0.8541666666666666,0.8586370948372934,0.8541666666666666,0.8541666666666666,15%,svm,prom,ratio
0.8833087149187593,0.8850866370237648,0.8833087149187593,0.8833087149187593,20%,svm,prom,ratio
0.905511811023622,0.9136183501537833,0.905511811023622,0.905511811023622,25%,svm,prom,ratio
