accuracy,precision,recall,f1,size,classifier,system,size type
0.9069148936170213,0.925746217134068,0.9069148936170213,0.9069148936170213,10%,maxEnt,jabref,ratio
0.928169014084507,0.9345724126665155,0.928169014084507,0.928169014084507,15%,maxEnt,jabref,ratio
0.9401197604790419,0.9458117551152555,0.9401197604790419,0.9401197604790419,20%,maxEnt,jabref,ratio
0.9505582137161085,0.9528837670798536,0.9505582137161085,0.9505582137161085,25%,maxEnt,jabref,ratio
0.8829787234042553,0.8793384868492354,0.8829787234042553,0.8829787234042553,10%,naive,jabref,ratio
0.895774647887324,0.8993635963121842,0.895774647887324,0.895774647887324,15%,naive,jabref,ratio
0.9041916167664671,0.9022840690529922,0.9041916167664671,0.9041916167664671,20%,naive,jabref,ratio
0.9074960127591707,0.91335032651971,0.9074960127591707,0.9074960127591707,25%,naive,jabref,ratio
0.9228723404255319,0.9268837056656983,0.9228723404255319,0.9228723404255319,10%,svm,jabref,ratio
0.9450704225352112,0.9496323230374598,0.9450704225352112,0.9450704225352112,15%,svm,jabref,ratio
0.9505988023952096,0.954618860819165,0.9505988023952096,0.9505988023952096,20%,svm,jabref,ratio
0.960127591706539,0.9550313855888141,0.960127591706539,0.960127591706539,25%,svm,jabref,ratio
